Timestamp,LatencyMs,Type
1764185721.569127,0.058651,Value
1764185721.569130,0.044346,Value
1764185721.569138,0.029564,Range
1764185721.574145,0.082731,Value
1764185721.574162,0.065565,Range
1764185721.574168,0.061512,Range
1764185721.574171,0.045061,Value
1764185721.574173,0.033140,Value
1764185721.579180,0.096321,Range
1764185721.579190,0.072002,Range
1764185721.579195,0.064850,Value
1764185721.579203,0.054598,Range
1764185721.579208,0.043631,Range
1764185721.584156,0.082016,Value
1764185721.584170,0.071287,Range
1764185721.584177,0.053883,Range
1764185721.584197,0.058174,Range
1764185721.584201,0.050783,Value
1764185721.589173,0.082731,Value
1764185721.589178,0.066996,Value
1764185721.589189,0.055075,Range
1764185721.589195,0.040054,Range
1764185721.589200,0.029802,Value
1764185721.594182,0.079632,Value
1764185721.594186,0.072479,Value
1764185721.594189,0.054836,Value
1764185721.594192,0.053883,Value
1764185721.594198,0.025511,Range
1764185721.599202,0.078201,Value
1764185721.599231,0.081301,Range
1764185721.599238,0.068665,Range
1764185721.599245,0.051498,Range
1764185721.599248,0.051975,Value
1764185721.604179,0.052691,Value
1764185721.604182,0.047922,Value
1764185721.604185,0.042439,Value
1764185721.604188,0.029564,Value
1764185721.604196,0.022650,Range
1764185721.609221,0.076056,Value
1764185721.609235,0.054359,Range
1764185721.609240,0.043869,Value
1764185721.609244,0.037193,Value
1764185721.609246,0.035048,Value
1764185721.614181,0.035524,Value
1764185721.614184,0.020027,Value
1764185721.614187,0.020742,Value
1764185721.614189,0.020266,Value
1764185721.614192,0.015974,Value
1764185721.619284,0.092745,Range
1764185721.619290,0.078678,Value
1764185721.619294,0.068188,Value
1764185721.619297,0.053406,Value
1764185721.619301,0.052214,Value
1764185721.624267,0.088215,Value
1764185721.624276,0.072241,Range
1764185721.624280,0.069618,Range
1764185721.624292,0.049591,Range
1764185721.624296,0.033379,Value
1764185721.629259,0.064373,Range
1764185721.629264,0.065804,Value
1764185721.629268,0.051260,Value
1764185721.629277,0.033855,Range
1764185721.629281,0.030994,Value
1764185721.634294,0.091791,Value
1764185721.634297,0.082254,Value
1764185721.634316,0.075102,Range
1764185721.634320,0.066996,Value
1764185721.634325,0.038147,Range
1764185721.639263,0.043631,Value
1764185721.639269,0.034809,Value
1764185721.639272,0.024080,Value
1764185721.639281,0.025511,Range
1764185721.639284,0.024796,Value
1764185721.644314,0.084639,Value
1764185721.644327,0.062466,Range
1764185721.644332,0.058651,Value
1764185721.644335,0.044346,Value
1764185721.644364,0.053883,Range
1764185721.649341,0.096560,Range
1764185721.649348,0.077724,Range
1764185721.649351,0.060558,Value
1764185721.649356,0.052452,Value
1764185721.649363,0.033617,Range
1764185721.654310,0.063181,Value
1764185721.654314,0.047445,Value
1764185721.654323,0.030518,Range
1764185721.654328,0.024319,Value
1764185721.654331,0.025034,Value
1764185721.659351,0.079870,Range
1764185721.659362,0.074148,Range
1764185721.659370,0.053883,Range
1764185721.659374,0.048399,Value
1764185721.659377,0.043631,Value
1764185721.664400,0.108004,Range
1764185721.664407,0.100374,Range
1764185721.664414,0.083923,Range
1764185721.664418,0.065327,Value
1764185721.664424,0.047445,Range
1764185721.669319,0.044346,Value
1764185721.669322,0.039816,Value
1764185721.669326,0.039101,Value
1764185721.669344,0.039101,Range
1764185721.669348,0.035286,Value
1764185721.674368,0.065565,Value
1764185721.674372,0.056505,Value
1764185721.674377,0.053883,Range
1764185721.674386,0.043154,Range
1764185721.674392,0.028133,Range
1764185721.679433,0.125170,Range
1764185721.679443,0.102043,Range
1764185721.679453,0.087976,Range
1764185721.679465,0.082970,Range
1764185721.679473,0.058651,Range
1764185721.684389,0.082731,Value
1764185721.684394,0.065327,Value
1764185721.684422,0.065327,Range
1764185721.684432,0.061035,Range
1764185721.684440,0.054359,Range
1764185721.689461,0.128984,Range
1764185721.689468,0.121355,Value
1764185721.689477,0.123262,Range
1764185721.689483,0.107765,Range
1764185721.689492,0.092268,Range
1764185721.694602,0.187635,Range
1764185721.694619,0.173569,Value
1764185721.694647,0.145197,Range
1764185721.694653,0.123739,Value
1764185721.694658,0.099659,Value
1764185721.699496,0.115871,Range
1764185721.699508,0.103474,Value
1764185721.699522,0.090837,Range
1764185721.699528,0.075817,Value
1764185721.699530,0.065088,Value
1764185721.704494,0.111103,Range
1764185721.704508,0.094414,Range
1764185721.704512,0.082493,Range
1764185721.704519,0.073195,Value
1764185721.704522,0.055552,Value
1764185721.709521,0.099659,Range
1764185721.709538,0.087976,Range
1764185721.709545,0.088215,Value
1764185721.709549,0.072718,Value
1764185721.709559,0.060558,Range
1764185721.714518,0.077724,Range
1764185721.714525,0.076771,Value
1764185721.714540,0.062943,Range
1764185721.714545,0.052691,Value
1764185721.714553,0.051260,Range
1764185721.719501,0.082254,Range
1764185721.719511,0.081539,Range
1764185721.719515,0.068665,Value
1764185721.719521,0.046730,Range
1764185721.719526,0.037432,Value
1764185721.724521,0.068903,Range
1764185721.724534,0.056744,Range
1764185721.724541,0.060320,Value
1764185721.724545,0.059366,Value
1764185721.724548,0.050306,Value
1764185721.729595,0.120163,Range
1764185721.729610,0.107050,Range
1764185721.729617,0.092030,Value
1764185721.729627,0.073433,Range
1764185721.729635,0.061274,Range
1764185721.734550,0.067234,Range
1764185721.734555,0.065804,Value
1764185721.734566,0.061274,Range
1764185721.734574,0.037670,Range
1764185721.734577,0.038147,Value
1764185721.739569,0.083208,Range
1764185721.739583,0.081539,Range
1764185721.739587,0.072479,Value
1764185721.739591,0.060797,Value
1764185721.739599,0.053644,Range
1764185721.744653,0.153065,Range
1764185721.744664,0.121593,Range
1764185721.744679,0.104427,Range
1764185721.744688,0.081062,Range
1764185721.744694,0.065565,Value
1764185721.749614,0.111580,Value
1764185721.749633,0.098467,Range
1764185721.749645,0.094175,Range
1764185721.749653,0.076771,Range
1764185721.749687,0.077486,Range
1764185721.754583,0.063419,Value
1764185721.754603,0.064135,Range
1764185721.754610,0.058413,Value
1764185721.754613,0.056982,Value
1764185721.754626,0.048637,Range
1764185721.759624,0.076294,Range
1764185721.759633,0.061512,Range
1764185721.759637,0.058651,Value
1764185721.759641,0.049829,Value
1764185721.759647,0.032902,Range
1764185721.764622,0.078201,Value
1764185721.764652,0.097990,Range
1764185721.764658,0.080347,Value
1764185721.764713,0.115633,Range
1764185721.764718,0.100136,Value
1764185721.769639,0.070095,Range
1764185721.769645,0.066996,Value
1764185721.769647,0.063419,Value
1764185721.769651,0.047445,Value
1764185721.769657,0.031710,Range
1764185721.774640,0.082493,Value
1764185721.774643,0.070572,Value
1764185721.774657,0.058889,Range
1764185721.774661,0.045300,Value
1764185721.774692,0.056267,Range
1764185721.779647,0.070333,Range
1764185721.779659,0.068903,Range
1764185721.779663,0.058174,Value
1764185721.779666,0.049353,Value
1764185721.779677,0.040770,Range
1764185721.784668,0.087500,Value
1764185721.784673,0.075817,Value
1764185721.784688,0.061989,Range
1764185721.784692,0.048876,Value
1764185721.784701,0.043869,Range
1764185721.789666,0.083923,Value
1764185721.789674,0.068426,Range
1764185721.789684,0.044107,Range
1764185721.789688,0.039101,Value
1764185721.789690,0.029087,Value
1764185721.794713,0.101805,Value
1764185721.794740,0.113487,Range
1764185721.794748,0.092506,Range
1764185721.794779,0.098705,Range
1764185721.794814,0.115395,Range
1764185721.799725,0.082016,Range
1764185721.799731,0.074625,Value
1764185721.799743,0.061274,Range
1764185721.799755,0.045061,Range
1764185721.799758,0.045061,Value
1764185721.804707,0.076056,Range
1764185721.804719,0.082970,Range
1764185721.804733,0.086069,Range
1764185721.804737,0.087261,Value
1764185721.804742,0.078440,Range
1764185721.809770,0.099182,Range
1764185721.809780,0.077724,Range
1764185721.809786,0.062466,Range
1764185721.809791,0.063896,Value
1764185721.809793,0.047207,Value
1764185721.814788,0.116348,Range
1764185721.814837,0.138521,Range
1764185721.814845,0.123739,Range
1764185721.814855,0.109911,Range
1764185721.814865,0.086784,Range
1764185721.819769,0.098944,Value
1764185721.819779,0.083208,Range
1764185721.819784,0.067711,Value
1764185721.819787,0.055552,Value
1764185721.819795,0.030994,Range
1764185721.824746,0.070333,Value
1764185721.824752,0.055552,Value
1764185721.824755,0.044584,Value
1764185721.824769,0.042915,Range
1764185721.824773,0.030518,Value
1764185721.829770,0.091314,Value
1764185721.829772,0.085592,Value
1764185721.829774,0.066996,Value
1764185721.829790,0.055552,Range
1764185721.829812,0.047445,Range
1764185721.834780,0.081062,Value
1764185721.834828,0.098705,Range
1764185721.834834,0.090599,Value
1764185721.834880,0.118256,Range
1764185721.834897,0.122309,Range
1764185721.839811,0.077724,Range
