Timestamp,LatencyMs,Type
1764185886.334318,0.041962,Value
1764185886.339271,0.056744,Value
1764185886.339273,0.044346,Value
1764185886.339276,0.035763,Value
1764185886.339278,0.026941,Value
1764185886.339280,0.011683,Value
1764185886.344332,0.096083,Range
1764185886.344357,0.093460,Range
1764185886.344361,0.077724,Value
1764185886.344366,0.074387,Value
1764185886.344371,0.048161,Range
1764185886.349355,0.090122,Range
1764185886.349360,0.073433,Range
1764185886.349370,0.057697,Range
1764185886.349374,0.052691,Value
1764185886.349381,0.037193,Range
1764185886.354324,0.061512,Range
1764185886.354331,0.051498,Range
1764185886.354337,0.045776,Value
1764185886.354340,0.044107,Value
1764185886.354343,0.027418,Value
1764185886.359373,0.086784,Range
1764185886.359383,0.083685,Range
1764185886.359387,0.076056,Value
1764185886.359393,0.063658,Range
1764185886.359399,0.047684,Range
1764185886.364336,0.061989,Value
1764185886.364340,0.052691,Value
1764185886.364343,0.043392,Value
1764185886.364345,0.031471,Value
1764185886.364347,0.017643,Value
1764185886.369352,0.063181,Range
1764185886.369359,0.057936,Range
1764185886.369363,0.047207,Value
1764185886.369368,0.032425,Range
1764185886.369371,0.032187,Value
1764185886.374396,0.087738,Range
1764185886.374403,0.077963,Range
1764185886.374408,0.064850,Range
1764185886.374411,0.051022,Value
1764185886.374413,0.031948,Value
1764185886.379377,0.064611,Range
1764185886.379384,0.064373,Range
1764185886.379388,0.058889,Value
1764185886.379396,0.036001,Range
1764185886.379399,0.031233,Value
1764185886.384410,0.087500,Value
1764185886.384423,0.071287,Range
1764185886.384434,0.058889,Range
1764185886.384438,0.050545,Value
1764185886.384441,0.037193,Range
1764185886.389401,0.066280,Value
1764185886.389411,0.054359,Range
1764185886.389419,0.046730,Range
1764185886.389424,0.033855,Value
1764185886.389426,0.027895,Value
1764185886.394434,0.090122,Range
1764185886.394438,0.086069,Value
1764185886.394441,0.072718,Value
1764185886.394447,0.064135,Range
1764185886.394454,0.046015,Range
1764185886.399434,0.078440,Range
1764185886.399438,0.061750,Value
1764185886.399449,0.052929,Range
1764185886.399457,0.038624,Range
1764185886.399465,0.035286,Range
1764185886.404423,0.058889,Value
1764185886.404426,0.051975,Value
1764185886.404429,0.045300,Value
1764185886.404433,0.031233,Range
1764185886.404451,0.032425,Range
1764185886.409451,0.073910,Value
1764185886.409463,0.057936,Range
1764185886.409470,0.053883,Value
1764185886.409473,0.045776,Value
1764185886.409480,0.031948,Range
1764185886.414435,0.057220,Value
1764185886.414438,0.056267,Value
1764185886.414442,0.048161,Value
1764185886.414447,0.025749,Range
1764185886.414450,0.018120,Value
1764185886.419484,0.081301,Range
1764185886.419491,0.081539,Range
1764185886.419498,0.063896,Range
1764185886.419505,0.053406,Range
1764185886.419510,0.040293,Value
1764185886.424507,0.080347,Range
1764185886.424511,0.069618,Value
1764185886.424519,0.059366,Range
1764185886.424522,0.044107,Value
1764185886.424525,0.033379,Value
1764185886.429504,0.069857,Range
1764185886.429509,0.067949,Value
1764185886.429516,0.067234,Value
1764185886.429524,0.046968,Range
1764185886.429535,0.049353,Range
1764185886.434503,0.079155,Value
1764185886.434506,0.072718,Value
1764185886.434537,0.080585,Range
1764185886.434556,0.077963,Range
1764185886.434567,0.069380,Range
1764185886.439483,0.038385,Value
1764185886.439485,0.035286,Value
1764185886.439492,0.035048,Range
1764185886.439499,0.031471,Range
